timestamp,cpu_percent,ram_percent,disk_usage
Wed Sep  3 17:37:40 2025,0.0,36.3,12.2
Wed Sep  3 17:37:42 2025,10.3,36.5,12.2
Wed Sep  3 17:37:44 2025,13.0,36.7,12.2
Wed Sep  3 17:37:46 2025,5.2,36.6,12.2
Wed Sep  3 17:37:48 2025,10.9,36.7,12.2
Wed Sep  3 17:37:50 2025,5.0,36.7,12.2
Wed Sep  3 17:37:52 2025,6.6,36.6,12.2
Wed Sep  3 17:37:54 2025,6.8,36.7,12.2
Wed Sep  3 17:37:56 2025,8.3,37.2,12.2
Wed Sep  3 17:37:58 2025,5.4,36.8,12.2
Wed Sep  3 17:38:00 2025,7.4,36.6,12.2
Wed Sep  3 17:38:02 2025,5.4,36.7,12.2
Wed Sep  3 17:38:04 2025,9.0,36.8,12.2
Wed Sep  3 17:38:06 2025,7.3,36.9,12.2
Wed Sep  3 17:38:08 2025,7.0,36.7,12.2
Wed Sep  3 17:38:10 2025,6.1,36.7,12.2
Wed Sep  3 17:38:12 2025,7.6,36.8,12.2
Wed Sep  3 17:38:14 2025,8.5,36.8,12.2
Wed Sep  3 17:38:16 2025,6.0,36.8,12.2
Wed Sep  3 17:38:18 2025,5.2,36.8,12.2
Wed Sep  3 17:38:20 2025,7.4,36.8,12.2
Wed Sep  3 17:38:22 2025,8.9,36.8,12.2
Wed Sep  3 17:38:24 2025,7.1,36.8,12.2
Wed Sep  3 17:38:26 2025,5.1,36.7,12.2
Wed Sep  3 17:38:28 2025,6.9,36.6,12.2
Wed Sep  3 17:38:30 2025,10.0,36.7,12.2
Wed Sep  3 17:38:32 2025,6.1,36.9,12.2
Wed Sep  3 17:38:34 2025,8.5,37.0,12.2
Wed Sep  3 17:38:36 2025,7.2,36.8,12.2
Wed Sep  3 17:38:38 2025,4.6,36.8,12.2
Wed Sep  3 17:38:40 2025,9.2,36.8,12.2
Wed Sep  3 17:38:42 2025,10.4,37.1,12.2
Wed Sep  3 17:38:44 2025,14.6,36.7,12.2
Wed Sep  3 17:38:46 2025,5.9,36.6,12.2
Wed Sep  3 17:38:48 2025,10.8,37.1,12.2
Wed Sep  3 17:38:50 2025,7.5,37.1,12.2
Wed Sep  3 17:38:52 2025,14.3,37.3,12.2
Wed Sep  3 17:38:54 2025,7.6,36.9,12.2
Wed Sep  3 17:38:56 2025,11.9,37.1,12.2
Wed Sep  3 17:38:58 2025,4.9,36.8,12.2
Wed Sep  3 17:39:00 2025,7.4,36.8,12.2
Wed Sep  3 17:39:02 2025,4.7,36.7,12.2
Wed Sep  3 17:39:04 2025,7.0,36.7,12.2
Wed Sep  3 17:39:06 2025,8.5,36.7,12.2
Wed Sep  3 17:39:08 2025,14.0,36.7,12.2
Wed Sep  3 17:39:10 2025,27.5,36.7,12.2
Wed Sep  3 17:39:12 2025,10.5,36.5,12.2
Wed Sep  3 17:39:14 2025,29.8,37.8,12.2
Wed Sep  3 17:39:16 2025,16.0,37.5,12.2
Wed Sep  3 17:39:18 2025,5.9,37.4,12.2
Wed Sep  3 17:39:20 2025,10.3,37.4,12.2
Wed Sep  3 17:39:22 2025,6.3,37.5,12.2
