timestamp,cpu_percent,ram_percent,disk_usage
Wed Sep  3 17:36:02 2025,0.0,32.4,12.2
Wed Sep  3 17:36:04 2025,6.8,32.7,12.2
Wed Sep  3 17:36:06 2025,1.9,32.7,12.2
Wed Sep  3 17:36:08 2025,3.1,32.7,12.2
Wed Sep  3 17:36:10 2025,2.7,32.7,12.2
Wed Sep  3 17:36:12 2025,2.1,32.9,12.2
Wed Sep  3 17:36:14 2025,2.3,32.9,12.2
Wed Sep  3 17:36:16 2025,2.1,32.9,12.2
Wed Sep  3 17:36:18 2025,1.1,32.8,12.2
Wed Sep  3 17:36:20 2025,7.5,32.8,12.2
Wed Sep  3 17:36:22 2025,2.8,32.8,12.2
Wed Sep  3 17:36:24 2025,6.7,32.5,12.2
Wed Sep  3 17:36:26 2025,3.7,32.5,12.2
Wed Sep  3 17:36:28 2025,4.5,32.6,12.2
Wed Sep  3 17:36:30 2025,4.2,32.7,12.2
Wed Sep  3 17:36:32 2025,1.8,32.7,12.2
Wed Sep  3 17:36:34 2025,5.5,32.6,12.2
Wed Sep  3 17:36:36 2025,0.8,32.6,12.2
